English;Russian
a bit;немного
a bit more;еще немного
a bit of a…;немного…
a bit of sth;немного чего-н.
a couple of sth;пара что-л.
a few;немного
a good idea;хорошая идея
a great deal;отличная сделка
a kind of...;типа...
a little;немного
a little bit;немного
a little more;немного больше
a long time ago;давным давно
a long way;длинный путь
a lot;много
a lot more;гораздо больше
a lot of sth;много чего
a means of sth;средство чего-н.
a number of sth;количество чего-н.
a period of time;Период времени
a range of sth;ряд чего-н.
a variety of sth;разнообразие чего-н.
able to do sth;способен делать что-л.
above all;превыше всего
access to sth;доступ к чему-л.
account for sth;учитывать что-л.
accused of sth;обвиняемый в чем-л.
act as sth;действовать как что-л.
add to sth;добавить к чему-л.
after all;после всего
again and again;опять и опять
agree with sb;согласен с сб
aim to do sth;стремиться сделать что-л.
aimed at doing sth;направленный на выполнение чего-н.
aimed at sb;направленный на кого-л.
all about…;все о…
all but;Все кроме
all day;весь день
all kinds of…;все виды…
all over the world;по всему миру
all over…;повсюду…
all sorts of…;все виды…
all the more;Все больше
all the time;все время
all the way;весь путь
along with sb/sth;вместе с sb/sth
alternative to sth;альтернатива чему-н.
and so on;и так далее
anything else;что-нибудь еще
apart from;Кроме
appeal to sb;обращение к сб
apply for sth;подать заявку на что-л.
apply to sb/sth;обратиться к sb/sth
around the world;во всем мире
arrive at…;прибыть в…
arrive in…;прибывает в…
art gallery;Галерея искусств
as a result;как результат
as a whole;в целом
as far as i am concerned;что касается меня
as far as sb/sth is concerned;что касается кого-то/чего-то
as follows…;следующее…
as for sb/sth;что касается с/с
as if…;будто…
as long as…;пока…
as much as;столько, сколько
as of…;по состоянию на…
as opposed to;в отличие от
as part of sth;как часть чего-л.
as soon as;как только
as soon as possible;как можно скорее
as such;как таковой
as though…;как будто…
as to;относительно
as well;также
ask for sth;попросить что-то
associated with sth;связанный с чем-л.
at first;сначала
at home;дома
at last;наконец
at least;по меньшей мере
at once;однажды
at present;в настоящий момент
at risk;рискованно
at school;в школе
at some point;в какой-то момент
at the age of…;в возрасте…
at the beginning of sth;в начале чего-н.
at the end;в конце
at the end of sth;в конце чего-н.
at the end of the day;в конце дня
at the expense of sb/sth;за счет с/с
at the hands of sb;в руках сб
at the moment;в данный момент
at the same time;в то же время
at the start of sth;в начале чего-н.
at the time;в то время
at the time of sth;во время кое-чего
at the top;на вершине
at the weekend;в выходные
at this point;в этот момент
at this stage;на данном этапе
at times;во время
at university;в университете
at work;на работе
attached to sb/sth;прикреплен к sb/sth
awareness of sth;осведомленность о чем-л.
away from sb/sth;вдали от кого-л./что-л.
back and forth;взад и вперед
back sb/sth up;назад сбн/ст вверх
bad for sb/sth;плохо для кого-то/чего-то
bad news;плохие новости
bad thing;плохо
based on sth;на основе чего-н.
be about to do sth;собираешься сделать что-л.
be allowed to do sth;иметь право делать что-л.
be attributed to sb;быть отнесенным к чему-либо
be charged with sth;быть обвиненным в чем-л.
be derived from sth;быть производным от чего-л.
be entitled to sth;иметь право на что-л.
be expected to do sth;ожидается, что он сделает что-л.
be found to do sth;быть найденным, чтобы сделать что-то
be going on;продолжаться
be going to do sth;собираюсь делать что-л.
