English;Russian transcript
Attractions;э трэкшнз
Business district;бизнис  дистрикт
Entertainment district;ентэ тейнмэнт  дистрикт
Custom; кастэм
Highlight; хай,лайт
Scenery; синэри
Surroundings;сэ рaундинз
Depart;ди пат
Arrive;э райв
Recommend;рекэ менд
Sit back and relax;сит бэк энд ри лэкс
I heard you ask (about flights). Is that correct?;ай хёрд ю эск (э бaут флайтс). из зэт кэ рект?
So, you said (you wanted to visit the ruins), right?;сoу, ю сед (ю  уантэд ту  визэт зэ  руэнз), райт?
Okay, I understand that (your flight leaves at 3 PM). Is that correct?;oу кей, ай ,андэр стэнд зэт (юэр флайт ливз эт 3  пи ем). из зэт кэ рект?
I’m sorry, I didn’t quite understand that. Can you say that again?;айм  сари, ай  дидэнт куайт ,андэр стэнд зэт. кэн ю сей зэт э ген?
Pardon my English, but I didn’t quite understand that. Can you say that again?; пардэн май  инглиш, бат ай  дидэнт куайт ,андэр стэнд зэт. кэн ю сей зэт э ген?
I’m sorry, but I didn’t catch that. Can you describe what you mean?;айм  сари, бат ай  дидэнт кэч зэт. кэн ю ди скрайб уат ю мин?
Does anyone have any questions?;даз  ени,уан хэв  ени  куэсчэнз?
Yes, sir/ma’am? Do you have a question?;йес, сёр/мэм? ду ю хэв э  куэсчэн?
Please feel free to raise your hand any time if you have a question.;плиз фил фри ту рейз юэр хэнд  ени тайм иф ю хэв э  куэсчэн.
So, any questions?;сoу,  ени  куэсчэнз?
For (authentic cuisine, family activities, etc), I recommend...;фор (э сентик куи зин,  фэмэли эк тивэтиз, ,ет сетэрэ), ай ,рекэ менд...
май  фейвэрит плейс из...
My favorite place is...;май  фейвэрит плейс из...
Great, thanks!;грейт, сэнкс!
Turn left;тёрн лефт
Turn right;тёрн райт
Go straight;гoу стрейт
Stop at the...;стап эт зи...
Continue until...;кэн тинью эн тил...
Take the (subway, bus, etc.);тейк зи ( са,буэй, бас, ,ет сетэрэ.)
Follow the signs for...; фалoу зэ сайнз фор...
At the traffic light;эт зэ  трэфик лайт
At the next (street, light, block, etc.);эт зэ некст (стрит, лайт, блак, ,ет сетэрэ.)
In (five) blocks;ин (файв) блакс
Near the (hotel, beach, station, etc.);нир зи (хoу тел, бич,  стейшэн, ,ет сетэрэ.)
