English idioms;Russian explanation
to break the ice;преодолеть неловкость при знакомстве (в новой компании)
to paint the town red;праздновать, веселиться
to eat one’s words;взять свои слова обратно
to feel in one’s bones;чувствовать, что случится что-то нехорошее
to let one’s hair down;вести себя неофициально (свободно)
C’mon, let your hair down!;Да, брось ты, расслабься!
to be on edge;быть раздраженным
to pick a fight;начать ссору
potluck supper;ужин, когда каждый приносит блюдо и никто из гостей не знает, что принесут остальные
to rub someone the wrong way;раздражать
the apple of one’s eye;любимец
Mum’s the word!;Cоблюдайте тишину!
to feel under the weather;чувствовать себя нехорошо / приболеть
to catch red-handed;взять с поличным / поймать за руку
He caught me red-handed when I wrote you an SMS;Он меня уличил, когда я писала тебе смс.
The cat has got one’s tongue;лишиться дара речи
to be in the dog house;попасть в переделку / ситуация, когда кто-то ругает кого-то
O-oh! Someone’s in the dog house;Ой-ой, кому-то сейчас влетит!
butter fingers;криворукий / ситуация, когда кто-то что-то случайно уронил
to be all mouth and (n)o trousers;пустослов / много разговоров, никаких действий
to give someone the elbow;избавиться от кого-либо
He picked a fight and I gave him the elbow;Он раздул скандал, и я порвала отношения с ним.
